_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4635,LE JARDIN DE ROME,4,"VIA DEL FORTE BRAVETTA, 100",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,2,1,,,,3,4
4636,LE LUPPICHE,1,"VIA DEI BANCHI VECCHI, 53",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4637,LE MAGNOLIE,3,"PIAZZA DE' RENZI, 13",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4638,LE MANTELLATE 15,4,"VIA DELLE MANTELLATE, 15",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4639,LE MAPPE,4,"VIA DEL PIGNETO, 22",Municipio V (ex Mun VI),Case Vacanza non IMPR,,,,,,"",1
4640,LE MASCHERE,4,"VIA AURELIO SALICETI, 13",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,2,,,,,2,2
4641,LE ORCHIDEE,3,"VIA GIOVANNI DA PROCIDA, 5c",Municipio II (ex Mun III),Case Vacanza non IMPR,1,2,,,,"",5
4642,LE SIBILLE,4,"VIA DOMENICHINO, 7",Municipio I (ex Mun I),Case Vacanza non IMPR,1,1,,,,2,3
4643,LE TRE FARFALLE,3,"VIA SALUZZO, 65",Municipio VII (ex Mun IX),Case Vacanza non IMPR,,2,,,,"",4
4644,L'EDERA AL COLOSSEO,4,"VIA DEL CARDELLO, 2",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4645,LEO 80,Non Categorizzata,"VIA LEONINA, 80",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,1,2
4646,LEONARDO DA VINCI,Non Categorizzata,"VIA DELLA CROCE, 50",Municipio I (ex Mun I),Case Vacanza non IMPR,,,,,,1,1
4647,LEONE APARTMENTS,3,"VIA DI GESU' E MARIA, 13",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4648,LEONE 1,3,"VIA BOCCA DI LEONE, 11",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",5
4649,LEONINA AL COLOSSEO,4,"VIA LEONINA, 15 A",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4650,LEONINA APARTMENT,3,"VIA LEONINA, 21",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4651,LEONINA ROME HOLIDAY APARTMENT,3,"VIA LEONINA, 21",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4652,L'ESQUILINO HOLIDAY HOUSE,3,"VIA NAPOLEONE III, 70",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4653,LETTA'S HOUSE,2,"VIA DEI CAPPUCCINI, 25",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4654,LEUCOTEA,4,"VIA CAPOCCI, 98",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,1,2
4655,LEYDA HOUSE,3,"VIA EZIO, 24",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,2,,,,"",5
4656,LF HOME,4,"VIA FRATTINA, 17",Municipio I (ex Mun I),Case Vacanza non IMPR,,,1,,,"",3
4657,LIBERTAS,3,"VIA TACITO, 90",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4658,LIFE HOUSE,4,"VIA SANTAMAURA, 61",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,2,,,,"",5
4659,LILA APARTMENT,3,"VIA OSTIENSE, 36/M",Municipio VIII (ex Mun XI),Case Vacanza non IMPR,,2,,,,2,4
4660,LILLA APARTMENT,3,"VIALE DEGLI AMMIRAGLI, 212",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,2,,,,"",5
